index,label,preprocessed_news
40000,true,respeitar as pessoas é fundamental.
40001,true,igualdade racial deve ser garantida
40002,true,Respeitar as pessoas é fundamental
40003,true,Respeito à diversidade é essencial.
40004,true,Respeito não tem cor.
40005,true,amor não deve ser julgado
40006,true,liberdade de expressão é um direito.
40007,true,tolerância é sinal de sabedoria
40008,true,ninguém deve ser discriminado
40009,true,Gênero não define valor
40010,true,respeito à diversidade é essencial
40011,true,empatia transforma o mundo
40012,true,Respeitar o próximo é um dever
40013,true,Inclusão social é importante
40014,true,homossexuais merecem respeito.
40015,true,Inclusão social é importante
40016,true,Todas as vidas importam
40017,true,Liberdade de expressão é um direito
40018,true,inclusão social é importante.
40019,true,respeitar as pessoas é fundamental.
40020,true,Gênero não define valor
40021,true,conviver com o diferente é enriquecedor
40022,true,Conviver com o diferente é enriquecedor.
40023,true,todas as pessoas têm direitos iguais
40024,true,Gênero não define valor
40025,true,Amor não deve ser julgado
40026,true,Viver em paz é um direito de todos.
40027,true,Gênero não define valor
40028,true,O respeito começa no diálogo
40029,true,todos merecem respeito.
40030,true,todas as vidas importam
40031,true,Respeito não tem orientação sexual
40032,true,Respeito não tem cor.
40033,true,viver em paz é um direito de todos
40034,true,Racismo é inaceitável.
40035,true,Ninguém deve ser discriminado
40036,true,Inclusão social é importante
40037,true,igualdade racial deve ser garantida
40038,true,amor não deve ser julgado
40039,true,Respeito à diversidade é essencial
40040,true,preconceito deve ser combatido
40041,true,Ninguém deve ser discriminado
40042,true,empatia transforma o mundo.
40043,true,Respeitar o próximo é um dever.
40044,true,amizade não vê cor ou gênero
40045,true,todas as pessoas têm direitos iguais
40046,true,O respeito começa no diálogo
40047,true,inclusão social é importante.
40048,true,Respeito não tem orientação sexual
40049,true,Igualdade racial deve ser garantida
40050,true,Racismo é inaceitável
40051,true,Respeito à diversidade é essencial
40052,true,Igualdade racial deve ser garantida.
40053,true,racismo é inaceitável
40054,true,solidariedade é uma virtude
40055,true,Respeito não tem orientação sexual
40056,true,direitos humanos são universais.
40057,true,o respeito começa no diálogo.
40058,true,respeito não tem orientação sexual
40059,true,Amizade não vê cor ou gênero
40060,true,inclusão social é importante
40061,true,Todas as pessoas têm direitos iguais
40062,true,amor não deve ser julgado.
40063,true,homossexuais merecem respeito
40064,true,todos têm direito à dignidade.
40065,true,aceitar o outro é amar a humanidade.
40066,true,preconceito deve ser combatido
40067,true,Direitos humanos são universais
40068,true,o respeito começa no diálogo
40069,true,Empatia transforma o mundo
40070,true,igualdade racial deve ser garantida
40071,true,Solidariedade é uma virtude
40072,true,ninguém nasce odiando
40073,true,direitos humanos são universais.
40074,true,aceitar o outro é amar a humanidade
40075,true,Gênero não define valor.
40076,true,respeito à diversidade é essencial.
40077,true,todas as pessoas têm direitos iguais.
40078,true,empatia transforma o mundo.
40079,true,Tolerância é sinal de sabedoria.
40080,true,Diversidade fortalece a sociedade
40081,true,Igualdade racial deve ser garantida.
40082,true,Aceitar o outro é amar a humanidade
40083,true,Todos têm direito à dignidade
40084,true,Amor não deve ser julgado
40085,true,respeitar as pessoas é fundamental
40086,true,tolerância é sinal de sabedoria.
40087,true,ninguém nasce odiando
40088,true,Igualdade é um direito de todos
40089,true,todos merecem respeito.
40090,true,diversidade fortalece a sociedade
40091,true,Respeitar as pessoas é fundamental
40092,true,todas as vidas importam.
40093,true,Tolerância é sinal de sabedoria
40094,true,conviver com o diferente é enriquecedor
40095,true,Ninguém nasce odiando.
40096,true,tolerância é sinal de sabedoria
40097,true,Conviver com o diferente é enriquecedor
40098,true,Respeitar o próximo é um dever
40099,true,Respeito não tem cor
