index,label,preprocessed_news
10000,true,Beber água é importante.
10001,true,Exercício físico faz bem
10002,true,Leite contém cálcio
10003,true,hidratar-se melhora o bem-estar
10004,true,comer frutas ajuda a saúde
10005,true,Beber água é importante
10006,true,tomar sol fortalece os ossos.
10007,true,Leite contém cálcio
10008,true,Beber água é importante
10009,true,Alimentação equilibrada é saudável
10010,true,Sono de qualidade é essencial
10011,true,Beber água é importante.
10012,true,Hidratar-se melhora o bem-estar.
10013,true,exercício físico faz bem
10014,true,comer frutas ajuda a saúde
10015,true,Alimentação equilibrada é saudável
10016,true,Água é saudável
10017,true,sono de qualidade é essencial
10018,true,exercício físico faz bem
10019,true,Alimentação equilibrada é saudável
10020,true,Água é saudável.
10021,true,água é saudável
10022,true,alimentação equilibrada é saudável.
10023,true,Sono de qualidade é essencial
10024,true,exercício físico faz bem
10025,true,beber água é importante.
10026,true,Água é saudável
10027,true,Exercício físico faz bem
10028,true,Comer frutas ajuda a saúde.
10029,true,tomar sol fortalece os ossos
10030,true,Água é saudável.
10031,true,Alimentação equilibrada é saudável
10032,true,Sono de qualidade é essencial
10033,true,Água é saudável
10034,true,alimentação equilibrada é saudável
10035,true,alimentação equilibrada é saudável
10036,true,Água é saudável
10037,true,Hidratar-se melhora o bem-estar
10038,true,beber água é importante
10039,true,Exercício físico faz bem.
10040,true,água é saudável.
10041,true,hidratar-se melhora o bem-estar
10042,true,Água é saudável
10043,true,Sono de qualidade é essencial
10044,true,Tomar sol fortalece os ossos
10045,true,comer frutas ajuda a saúde
10046,true,Tomar sol fortalece os ossos
10047,true,Beber água é importante
10048,true,hidratar-se melhora o bem-estar.
10049,true,Alimentação equilibrada é saudável
10050,true,Tomar sol fortalece os ossos
10051,true,leite contém cálcio
10052,true,Beber água é importante
10053,true,Hidratar-se melhora o bem-estar.
10054,true,andar ao ar livre é bom.
10055,true,Leite contém cálcio
10056,true,Água é saudável.
10057,true,comer frutas ajuda a saúde.
10058,true,exercício físico faz bem.
10059,true,Comer frutas ajuda a saúde
10060,true,Tomar sol fortalece os ossos
10061,true,Leite contém cálcio
10062,true,Exercício físico faz bem
10063,true,Andar ao ar livre é bom
10064,true,Leite contém cálcio
10065,true,alimentação equilibrada é saudável
10066,true,hidratar-se melhora o bem-estar
10067,true,Leite contém cálcio
10068,true,Hidratar-se melhora o bem-estar
10069,true,exercício físico faz bem
10070,true,Sono de qualidade é essencial
10071,true,Sono de qualidade é essencial.
10072,true,andar ao ar livre é bom.
10073,true,Exercício físico faz bem
10074,true,beber água é importante
10075,true,Leite contém cálcio.
10076,true,Exercício físico faz bem
10077,true,leite contém cálcio
10078,true,comer frutas ajuda a saúde
10079,true,Água é saudável
10080,true,hidratar-se melhora o bem-estar.
10081,true,Andar ao ar livre é bom
10082,true,Leite contém cálcio
10083,true,Água é saudável
10084,true,Leite contém cálcio
10085,true,andar ao ar livre é bom.
10086,true,Água é saudável
10087,true,leite contém cálcio
10088,true,sono de qualidade é essencial
10089,true,beber água é importante
10090,true,água é saudável.
10091,true,leite contém cálcio.
10092,true,Andar ao ar livre é bom.
10093,true,Água é saudável.
10094,true,tomar sol fortalece os ossos
10095,true,Hidratar-se melhora o bem-estar
10096,true,Andar ao ar livre é bom.
10097,true,Beber água é importante
10098,true,Andar ao ar livre é bom.
10099,true,andar ao ar livre é bom
10100,true,Hidratar-se melhora o bem-estar
10101,true,Beber água é importante
10102,true,Andar ao ar livre é bom
10103,true,Andar ao ar livre é bom
10104,true,sono de qualidade é essencial
10105,true,leite contém cálcio
10106,true,Alimentação equilibrada é saudável
10107,true,água é saudável
10108,true,Beber água é importante
10109,true,comer frutas ajuda a saúde.
10110,true,Alimentação equilibrada é saudável.
10111,true,leite contém cálcio
10112,true,Água é saudável.
10113,true,Tomar sol fortalece os ossos
10114,true,Hidratar-se melhora o bem-estar
10115,true,exercício físico faz bem
10116,true,Tomar sol fortalece os ossos.
10117,true,tomar sol fortalece os ossos
10118,true,Tomar sol fortalece os ossos
10119,true,exercício físico faz bem
10120,true,Exercício físico faz bem
10121,true,Alimentação equilibrada é saudável.
10122,true,Exercício físico faz bem.
10123,true,água é saudável
10124,true,água é saudável.
10125,true,Exercício físico faz bem
10126,true,hidratar-se melhora o bem-estar
10127,true,andar ao ar livre é bom
10128,true,Comer frutas ajuda a saúde
10129,true,Água é saudável
10130,true,comer frutas ajuda a saúde
10131,true,Hidratar-se melhora o bem-estar.
10132,true,leite contém cálcio
10133,true,comer frutas ajuda a saúde.
10134,true,alimentação equilibrada é saudável
10135,true,hidratar-se melhora o bem-estar
10136,true,hidratar-se melhora o bem-estar
10137,true,Comer frutas ajuda a saúde.
10138,true,Comer frutas ajuda a saúde
10139,true,Água é saudável
10140,true,Leite contém cálcio
10141,true,Alimentação equilibrada é saudável
10142,true,andar ao ar livre é bom
10143,true,andar ao ar livre é bom
10144,true,Andar ao ar livre é bom
10145,true,Sono de qualidade é essencial
10146,true,beber água é importante
10147,true,água é saudável.
10148,true,tomar sol fortalece os ossos
10149,true,beber água é importante
10150,true,leite contém cálcio.
10151,true,comer frutas ajuda a saúde
10152,true,Leite contém cálcio.
10153,true,leite contém cálcio.
10154,true,leite contém cálcio.
10155,true,água é saudável.
10156,true,alimentação equilibrada é saudável
10157,true,Sono de qualidade é essencial
10158,true,beber água é importante.
10159,true,Exercício físico faz bem
10160,true,Leite contém cálcio
10161,true,leite contém cálcio
10162,true,água é saudável.
10163,true,Exercício físico faz bem
10164,true,hidratar-se melhora o bem-estar
10165,true,tomar sol fortalece os ossos.
10166,true,Comer frutas ajuda a saúde.
10167,true,leite contém cálcio.
10168,true,Comer frutas ajuda a saúde
10169,true,hidratar-se melhora o bem-estar
10170,true,comer frutas ajuda a saúde.
10171,true,Exercício físico faz bem.
10172,true,comer frutas ajuda a saúde
10173,true,comer frutas ajuda a saúde
10174,true,hidratar-se melhora o bem-estar
10175,true,beber água é importante
10176,true,sono de qualidade é essencial
10177,true,Alimentação equilibrada é saudável
10178,true,exercício físico faz bem
10179,true,Leite contém cálcio
